video_link,thumbnail_link,duration
https://www.youtube.com//watch?v=m2MIpDrF7Es,https://i.ytimg.com/vi/m2MIpDrF7Es/hqdefault.jpg,"13 minutes, 50 seconds"
https://www.youtube.com//watch?v=YG15m2VwSjA,https://i.ytimg.com/vi/YG15m2VwSjA/hqdefault.jpg,"15 minutes, 56 seconds"
https://www.youtube.com//watch?v=S0_qX4VJhMQ,https://i.ytimg.com/vi/S0_qX4VJhMQ/hqdefault.jpg,"17 minutes, 34 seconds"
https://www.youtube.com//watch?v=9vKqVkMQHKk,https://i.ytimg.com/vi/9vKqVkMQHKk/hqdefault.jpg,"16 minutes, 50 seconds"
https://www.youtube.com//watch?v=WUvTyaaNkzM,https://i.ytimg.com/vi/WUvTyaaNkzM/hqdefault.jpg,"17 minutes, 5 seconds"
https://www.youtube.com//watch?v=mvmuCPvRoWQ,https://i.ytimg.com/vi/mvmuCPvRoWQ/hqdefault.jpg,"24 minutes, 28 seconds"
https://www.youtube.com//watch?v=gB9n2gHsHN4,https://i.ytimg.com/vi/gB9n2gHsHN4/hqdefault.jpg,"21 minutes, 36 seconds"
https://www.youtube.com//watch?v=IxNb1WG_Ido,https://i.ytimg.com/vi/IxNb1WG_Ido/hqdefault.jpg,"8 minutes, 15 seconds"
https://www.youtube.com//watch?v=sD0NjbwqlYw,https://i.ytimg.com/vi/sD0NjbwqlYw/hqdefault.jpg,"22 minutes, 11 seconds"
https://www.youtube.com//watch?v=bdMfjfT0lKk,https://i.ytimg.com/vi/bdMfjfT0lKk/hqdefault.jpg,"13 minutes, 40 seconds"
https://www.youtube.com//watch?v=2SUvWfNJSsM,https://i.ytimg.com/vi/2SUvWfNJSsM/hqdefault.jpg,"13 minutes, 59 seconds"
https://www.youtube.com//watch?v=R7p-nPg8t_g,https://i.ytimg.com/vi/R7p-nPg8t_g/hqdefault.jpg,"1 minute, 32 seconds"
https://www.youtube.com//watch?v=AmgkSdhK4K8,https://i.ytimg.com/vi/AmgkSdhK4K8/hqdefault.jpg,"18 minutes, 16 seconds"
https://www.youtube.com//watch?v=TgKwz5Ikpc8,https://i.ytimg.com/vi/TgKwz5Ikpc8/hqdefault.jpg,"16 minutes, 46 seconds"
https://www.youtube.com//watch?v=PFDu9oVAE-g,https://i.ytimg.com/vi/PFDu9oVAE-g/hqdefault.jpg,"17 minutes, 16 seconds"
https://www.youtube.com//watch?v=P2LTAUO1TdA,https://i.ytimg.com/vi/P2LTAUO1TdA/hqdefault.jpg,"12 minutes, 51 seconds"
https://www.youtube.com//watch?v=eu6i7WJeinw,https://i.ytimg.com/vi/eu6i7WJeinw/hqdefault.jpg,"8 minutes, 54 seconds"
https://www.youtube.com//watch?v=BaM7OCEm3G0,https://i.ytimg.com/vi/BaM7OCEm3G0/hqdefault.jpg,"13 minutes, 10 seconds"
https://www.youtube.com//watch?v=LyGKycYT2v0,https://i.ytimg.com/vi/LyGKycYT2v0/hqdefault.jpg,"14 minutes, 12 seconds"
